				corr.
kašьlь	slovene	kášǝlj	kàːʃəl	
gramada	slovene	gramáda	ɡramàːda	
malъkъ	slovene	mȃlǝk	máːlǝk	
greti	slovene	grébsti	ɡrɛ̀ːpsti	
mъdьlь	slovene	mǝdǝ̀ɫ	mǝdə́ʊ	
dъnò	slovene	dnọ̀	dno	
drě̄màti	slovene	drẹ́mati	drèːmati	
ętry	slovene	ję̑trva	jóːtrʋa	
akъ	slovene	jȃk	jáːk	
četvorъ	slovene	četvę̑r	t͡ʃɛtʋé̝ːr	
pīskàti	slovene	pískati	pìːskati	
děvìca	slovene	dẹvíca	deʋìːt͡sa	
kъ	slovene	k	k	
luskъ	slovene	lȗsk	lúːsk	
mǫ́drъ	slovene	mǫ́dǝr	mò̝ːdər	
kovati	slovene	kováti	kɔʋàːti	
čь̑stь	slovene	čȃst	t͡ʃáːst	
àblonь	slovene	jáblan	jàːblan	
grǫziti	slovene	grozíti	ɡrɔzìːti	
kysělъ	slovene	kíseɫ	kìːsɛʊ	
bol̨e	slovene	bọ̑lje	bóːljɛ	
oskъrdъ	slovene	oskȓd	ɔskə́rt	
rȏdъ	slovene	rọ̑d	ró̝ːt	
glístъ	slovene	glísta	ɡlìːsta	
zar̨à	slovene	zárja	zàːrja	
osmъ	slovene	ǫ́smi	ò̝ːsmi	
sъ̀nъ	slovene	sǝ̀n	sə̀rn	
vьrtě̀ti	slovene	vrtẹ́ti	ʋərtèːti	
velь	slovene	vę̑l(i)	ʋé̝ːli	
vòn̨ь	slovene	vònj	ʋɔ́nj	
mỳti	slovene	míti	mìːti	
dě̀va	slovene	dẹ́va	dèːʋa	
edinakъ	slovene	ednák	ɛdnàːk	
glìva	slovene	glíva	ɡlìːʋa	
žę̀dlo	slovene	žélọ	ʒɛ̀ːlo	
oba	slovene	obȃ	ɔbáː	
bȏsъ	slovene	bọ̑s	bóːs	
rę̑dъ	slovene	rę̑d	rɔ́t	
xvorstьje	slovene	hrástje	xràːstjɛ	
zìnǫti	slovene	zíniti	zìːniti	
mȃzъ	slovene	mȃz	máːs	
ostrъ	slovene	ǫ́stǝr	ò̝ːstər	
ě̀snъ	slovene	jásǝn	jàːsən	
goditi	slovene	godíti	ɡɔdìːti	
mę̑so	slovene	mesọ̑	mɛsóː	
drobìti	slovene	drobíti	drɔbìːti	
ękati	slovene	ję́kati	jèːkati	
tęti	slovene	tę́ti	tèːti	
mojь	slovene	mọ́j	mòːj	
korìti	slovene	koríti	kɔrìːti	
kaliti	slovene	kalíti	kalìːti	
